Time [h]	Intlet Temperature [C]	Outlet Temperature [C]
788	3.07444	6.07444
789	3.08738	6.08738
790	3.09997	6.09997
791	3.1133	6.1133
792	3.12613	6.12613
793	3.13871	6.13871
794	3.13993	6.13993
795	3.13467	6.13467
796	3.12814	6.12814
797	3.12013	6.12013
798	3.11107	6.11107
799	3.10228	6.10228
800	3.09148	6.09148
801	3.08044	6.08044
802	3.06981	6.06981
803	3.05812	6.05812
804	3.04642	6.04642
805	3.03438	6.03438
806	3.02259	6.02259
807	3.00939	6.00939
808	2.99658	5.99658
809	2.98381	5.98381
810	2.97012	5.97012
811	2.95669	5.95669
812	2.94331	5.94331
813	2.92894	5.92894
814	2.91559	5.91559
815	2.90111	5.90111
816	2.8866	5.8866
817	2.87318	5.87318
818	2.85813	5.85813
819	2.84409	5.84409
820	2.8311	5.8311
821	2.81525	5.81525
822	2.80077	5.80077
823	2.78659	5.78659
824	2.77155	5.77155
825	2.75797	5.75797
826	2.74114	5.74114
827	2.72656	5.72656
828	2.71177	5.71177
829	2.6966	5.6966
830	2.68193	5.68193
831	2.66654	5.66654
832	2.65068	5.65068
833	2.63576	5.63576
834	2.6195	5.6195
835	2.60413	5.60413
836	2.58896	5.58896
837	2.57344	5.57344
838	2.55758	5.55758
839	2.5416	5.5416
840	2.52597	5.52597
841	2.51011	5.51011
842	2.49982	5.49982
843	2.4925	5.4925
844	2.48626	5.48626
845	2.48031	5.48031
846	2.47476	5.47476
847	2.46945	5.46945
848	2.46477	5.46477
849	2.45969	5.45969
850	2.45551	5.45551
851	2.45094	5.45094
852	2.44733	5.44733
853	2.44323	5.44323
854	2.43885	5.43885
855	2.43538	5.43538
856	2.43191	5.43191
857	2.42776	5.42776
858	2.42391	5.42391
859	2.4205	5.4205
860	2.41735	5.41735
861	2.41371	5.41371
862	2.41083	5.41083
863	2.40714	5.40714
864	2.40393	5.40393
865	2.40036	5.40036
866	2.39734	5.39734
867	2.39388	5.39388
868	2.39081	5.39081
869	2.38757	5.38757
870	2.38394	5.38394
871	2.38073	5.38073
872	2.37733	5.37733
873	2.37467	5.37467
874	2.37142	5.37142
875	2.36845	5.36845
876	2.3646	5.3646
877	2.36167	5.36167
878	2.35832	5.35832
879	2.35556	5.35556
880	2.35148	5.35148
881	2.34898	5.34898
882	2.34655	5.34655
883	2.34315	5.34315
884	2.34063	5.34063
885	2.33693	5.33693
886	2.33411	5.33411
887	2.33132	5.33132
888	2.3283	5.3283
889	2.3248	5.3248
890	2.31024	5.31024
891	2.28864	5.28864
892	2.26562	5.26562
893	2.24071	5.24071
894	2.21518	5.21518
895	2.18901	5.18901
896	2.16253	5.16253
897	2.13459	5.13459
898	2.10698	5.10698
899	2.07821	5.07821
900	2.04962	5.04962
901	2.02019	5.02019
902	1.99102	4.99102
903	1.96162	4.96162
904	1.93072	4.93072
905	1.90051	4.90051
906	1.86959	4.86959
907	1.83889	4.83889
908	1.80725	4.80725
909	1.77641	4.77641
910	1.74449	4.74449
911	1.71309	4.71309
912	1.68121	4.68121
913	1.65037	4.65037
914	1.62763	4.62763
915	1.61017	4.61017
916	1.59458	4.59458
917	1.58069	4.58069
918	1.5673	4.5673
919	1.55454	4.55454
920	1.54213	4.54213
921	1.52956	4.52956
922	1.51781	4.51781
923	1.50703	4.50703
924	1.4957	4.4957
925	1.48424	4.48424
926	1.47312	4.47312
927	1.46252	4.46252
928	1.45207	4.45207
929	1.44118	4.44118
930	1.43016	4.43016
931	1.4192	4.4192
932	1.40968	4.40968
933	1.39928	4.39928
934	1.38982	4.38982
935	1.3797	4.3797
936	1.3694	4.3694
937	1.3592	4.3592
938	1.36923	4.36923
939	1.38919	4.38919
940	1.41246	4.41246
941	1.43864	4.43864
942	1.46559	4.46559
943	1.49457	4.49457
944	1.52512	4.52512
945	1.55619	4.55619
946	1.58798	4.58798
947	1.62018	4.62018
948	1.65343	4.65343
949	1.68743	4.68743
950	1.72179	4.72179
951	1.75627	4.75627
952	1.79176	4.79176
953	1.82695	4.82695
954	1.86261	4.86261
955	1.89957	4.89957
956	1.93649	4.93649
957	1.9733	4.9733
958	2.01042	5.01042
959	2.0482	5.0482
960	2.08549	5.08549
961	2.12362	5.12362
962	2.15461	5.15461
963	2.18277	5.18277
964	2.21018	5.21018
965	2.2368	5.2368
966	2.26261	5.26261
967	2.28842	5.28842
968	2.3157	5.3157
969	2.34034	5.34034
970	2.36577	5.36577
971	2.39107	5.39107
972	2.41609	5.41609
973	2.44299	5.44299
974	2.46822	5.46822
975	2.49366	5.49366
976	2.51983	5.51983
977	2.54546	5.54546
978	2.57115	5.57115
979	2.59674	5.59674
980	2.6224	5.6224
981	2.64755	5.64755
982	2.67357	5.67357
983	2.69921	5.69921
984	2.72504	5.72504
985	2.75074	5.75074
986	2.774	5.774
987	2.79465	5.79465
988	2.81531	5.81531
989	2.83474	5.83474
990	2.85471	5.85471
991	2.87598	5.87598
992	2.89556	5.89556
993	2.91549	5.91549
994	2.93485	5.93485
995	2.95472	5.95472
996	2.97428	5.97428
997	2.99359	5.99359
998	3.01319	6.01319
999	3.03259	6.03259
1000	3.05198	6.05198
1001	3.07149	6.07149
1002	3.09085	6.09085
1003	3.10992	6.10992
1004	3.12933	6.12933
1005	3.14952	6.14952
1006	3.16822	6.16822
1007	3.18736	6.18736
1008	3.20643	6.20643
1009	3.22608	6.22608
1010	3.23685	6.23685
1011	3.24448	6.24448
1012	3.25131	6.25131
1013	3.25748	6.25748
1014	3.26229	6.26229
1015	3.26761	6.26761
1016	3.2728	6.2728
1017	3.27592	6.27592
1018	3.28014	6.28014
1019	3.28433	6.28433
1020	3.2878	6.2878
1021	3.29101	6.29101
1022	3.29413	6.29413
1023	3.29727	6.29727
1024	3.29949	6.29949
1025	3.3021	6.3021
1026	3.30448	6.30448
1027	3.30669	6.30669
1028	3.30936	6.30936
1029	3.31077	6.31077
1030	3.3132	6.3132
1031	3.31416	6.31416
1032	3.31614	6.31614
1033	3.31753	6.31753
1034	3.32288	6.32288
1035	3.32928	6.32928
1036	3.33663	6.33663
1037	3.34331	6.34331
1038	3.35056	6.35056
1039	3.35718	6.35718
1040	3.36506	6.36506
1041	3.37297	6.37297
1042	3.38021	6.38021
1043	3.38876	6.38876
1044	3.39556	6.39556
1045	3.40349	6.40349
1046	3.41208	6.41208
1047	3.41973	6.41973
1048	3.42744	6.42744
1049	3.43505	6.43505
1050	3.44307	6.44307
1051	3.45066	6.45066
1052	3.45884	6.45884
1053	3.46723	6.46723
1054	3.4747	6.4747
1055	3.48305	6.48305
1056	3.49075	6.49075
1057	3.4983	6.4983
1058	3.51225	6.51225
1059	3.52755	6.52755
1060	3.54391	6.54391
1061	3.56173	6.56173
1062	3.57914	6.57914
1063	3.59667	6.59667
1064	3.61475	6.61475
1065	3.63262	6.63262
1066	3.65084	6.65084
1067	3.66971	6.66971
1068	3.68837	6.68837
1069	3.7064	6.7064
1070	3.72592	6.72592
1071	3.74366	6.74366
1072	3.76348	6.76348
1073	3.78247	6.78247
1074	3.80244	6.80244
1075	3.82161	6.82161
1076	3.84172	6.84172
1077	3.86094	6.86094
1078	3.88015	6.88015
1079	3.90044	6.90044
1080	3.92047	6.92047
1081	3.94018	6.94018
1082	3.95632	6.95632
1083	3.97204	6.97204
1084	3.98729	6.98729
1085	4.00232	7.00232
1086	4.01735	7.01735
1087	4.0323	7.0323
1088	4.04682	7.04682
1089	4.06105	7.06105
1090	4.07558	7.07558
1091	4.0893	7.0893
1092	4.10382	7.10382
1093	4.11859	7.11859
1094	4.13309	7.13309
1095	4.14671	7.14671
1096	4.16134	7.16134
1097	4.17512	7.17512
1098	4.18936	7.18936
1099	4.20326	7.20326
1100	4.21772	7.21772
1101	4.23014	7.23014
1102	4.24488	7.24488
1103	4.25946	7.25946
1104	4.27346	7.27346
1105	4.28784	7.28784
1106	4.2734	7.2734
1107	4.24928	7.24928
1108	4.22268	7.22268
1109	4.19318	7.19318
1110	4.16125	7.16125
1111	4.12814	7.12814
1112	4.09289	7.09289
1113	4.05616	7.05616
1114	4.01908	7.01908
1115	3.98008	6.98008
1116	3.94128	6.94128
1117	3.9001	6.9001
1118	3.8595	6.8595
1119	3.81734	6.81734
1120	3.77486	6.77486
1121	3.73128	6.73128
1122	3.6866	6.6866
1123	3.64303	6.64303
1124	3.598	6.598
1125	3.55212	6.55212
1126	3.50599	6.50599
1127	3.45888	6.45888
1128	3.41214	6.41214
1129	3.36473	6.36473
1130	3.33445	6.33445
1131	3.31043	6.31043
1132	3.28933	6.28933
1133	3.26924	6.26924
1134	3.24967	6.24967
1135	3.23186	6.23186
1136	3.21371	6.21371
1137	3.19664	6.19664
1138	3.17912	6.17912
1139	3.16254	6.16254
1140	3.14633	6.14633
1141	3.12979	6.12979
1142	3.11453	6.11453
1143	3.09802	6.09802
1144	3.08221	6.08221
1145	3.06651	6.06651
1146	3.05225	6.05225
1147	3.03628	6.03628
