time [d]	Qevap [W]	mdot [kg/s]
342	-2719.65967	0.216878762
343	-2412.95015	0.192420267
344	-2580.40146	0.205773641
345	-2687.07543	0.214280338
346	-2916.92921	0.232609985
347	-3143.35619	0.250666363
348	-3081.57603	0.245739715
349	-2974.43614	0.237195864
350	-3404.31078	0.271476139
351	-2904.91175	0.231651655
352	-2429.70078	0.193756043
353	-2740.40351	0.218532976
354	-3141.27411	0.250500328
355	-2424.11533	0.193310632
356	-1528.01558	0.121851322
357	-2677.90666	0.213549175
358	-2537.24471	0.202332114
359	-2760.40115	0.220127683
360	-3150.10956	0.251204909
361	-2034.12092	0.162210599
362	-2534.75872	0.20213387
363	-2740.31498	0.218525915
364	-2850.23882	0.227291773
365	-3032.52404	0.241828074
366	-2460.14418	0.196183746
367	-2036.96376	0.162437301
368	-2296.97182	0.183171596
369	-1977.42194	0.15768915
370	-1536.21403	0.122505106
371	-1730.66998	0.13801196
372	-2327.86931	0.185635511
373	-2328.53881	0.185688901
374	-2548.637	0.20324059
375	-2770.33653	0.220919979
376	-3034.18141	0.241960241
377	-2920.70103	0.232910768
378	-3256.99283	0.259728296
379	-2961.96745	0.236201551
380	-2760.46303	0.220132618
381	-2094.44716	0.167021305
382	-2216.89273	0.176785704
383	-2242.62636	0.178837828
384	-2443.44945	0.194852428
385	-2273.9366	0.181334657
386	-2581.02663	0.205823496
387	-3001.49382	0.239353574
388	-3529.06255	0.281424446
389	-3532.61025	0.281707357
390	-3711.13548	0.295943818
391	-3258.97754	0.259886566
392	-3290.04598	0.262364114
393	-2377.79126	0.189616528
394	-1763.42543	0.140624038
395	-1632.3892	0.130174577
396	-2151.26405	0.171552157
397	-2168.21228	0.172903691
398	-1970.86032	0.157165895
399	-2199.55216	0.175402884
400	-2418.76271	0.192883789
401	-2438.47734	0.194455928
402	-2462.43855	0.196366711
403	-2902.50233	0.231459515
404	-2989.05178	0.238361386
405	-2400.00956	0.191388322
406	-2046.50108	0.163197853
407	-1798.2185	0.143398605
408	-1818.81778	0.14504129
