Time [h]	Inlet Temperature [C]	Outlet Temperature [C]
21197	5.3053043061845	8.5624471669633
21198	5.3057914447673	8.5629343053745
21199	5.306317692191	8.5634605526246
21200	5.3068727258157	8.5640155860736
21201	5.3074500599551	8.5645929200352
21202	5.3080455227705	8.5651883826708
21203	5.3086563056052	8.5657991653234
21204	5.3092804179961	8.56642327753
21205	5.3099163754163	8.5670592347638
21206	5.3105630216932	8.5677058808518
21207	5.3112194146013	8.5683622735689
21208	5.3118820222171	8.5690248809913
21209	5.3125531060908	8.5696959646691
21210	5.3132291251308	8.5703719835108
21211	5.3139272838419	8.5710701420211
21212	5.3146298690061	8.571772726982
21213	5.3153326211464	8.5724754789163
21214	5.3160389513741	8.5731818089354
21215	5.316751087881	8.573893945231
21216	5.3174693462649	8.5746122034009
21217	5.3181933396824	8.5753361967828
21218	5.3189751387883	8.5761179960361
21219	5.3198578257774	8.5770006831756
21220	5.3208076699185	8.5779505274703
21221	5.321801845435	8.5789447031438
21222	5.3228280374526	8.5799708953219
21223	5.323878125464	8.5810209834973
21224	5.3249468311755	8.5820896893765
21225	5.3260307885156	8.5831736468881
21226	5.3271277879965	8.5842706465445
21227	5.3282363024114	8.585379161139
21228	5.3293552155823	8.5864980744937
21229	5.3304836675742	8.5876265266738
21230	5.3316209654606	8.588763824753
21231	5.3327665315899	8.5899093910798
21232	5.3339198728027	8.5910627324949
21233	5.3350805609719	8.5922234208716
21234	5.3362482197306	8.593391079843
21235	5.3374225148303	8.5945653751608
21236	5.3386031583039	8.5957460188582
21237	5.3397874071988	8.596930267983
21238	5.3409784557959	8.598121316816
21239	5.3421727318018	8.5993155930641
21240	5.3433838713688	8.6005267328801
21241	5.344597540319	8.6017404018881
21242	5.3457426616392	8.6028855230685
21243	5.3467631550396	8.603906016327
21244	5.347704613078	8.6048474742215
21245	5.3485978764317	8.6057407374293
21246	5.34945898134	8.6066018421896
21247	5.3502982932987	8.6074411539981
21248	5.3511224606995	8.6082653212464
21249	5.351935633034	8.6090784934263
21250	5.3527404527482	8.6098833129835
21251	5.3535386795044	8.6106815395804
21252	5.3543315463092	8.6114744062234
21253	5.3551199620239	8.6122628217739
21254	5.3559046276515	8.6130474872347
21255	5.3566861033552	8.6138289627691
21256	5.3574648480054	8.6146077072474
21257	5.3582412439422	8.6153841030094
21258	5.3590156137096	8.6161584725995
21259	5.359788232114	8.6169310908235
21260	5.3605593352696	8.6177021937959
21261	5.3613291275487	8.6184719858889
21262	5.3620977870034	8.6192406451544
21263	5.362865469648	8.6200083276066
21264	5.3636323128827	8.6207751706458
21265	5.3643984381485	8.6215412958245
21266	5.3648127874682	8.6219556451668
21267	5.3645886185721	8.621731476292
21268	5.3639565963916	8.6210994541315
21269	5.3630663530852	8.620209210844
21270	5.3619963523078	8.6191392100844
21271	5.3607967873495	8.617939645143
21272	5.3594998013978	8.6166426592074
21273	5.3581260331171	8.6152688909418
21274	5.3566891940177	8.6138320518569
21275	5.3551987811778	8.6123416390307
21276	5.353661657959	8.6108045158249
21277	5.3520830020206	8.609225859899
21278	5.3504668789575	8.6076097368478
21279	5.3488165884662	8.6059594463679
21280	5.3471348765212	8.6042777344338
21281	5.3454240711941	8.6025669291171
21282	5.3436861746646	8.6008290325976
21283	5.34192292882	8.5990657867625
21284	5.3401358638339	8.5972787217857
21285	5.338326335125	8.5954691930857
21286	5.336495552048	8.5936384100172
21287	5.3346446005358	8.5917874585132
21288	5.3327744612247	8.58991731921
21289	5.3308860241762	8.5880288821419
21290	5.3290805684119	8.5862234263318
21291	5.3274404388317	8.5845832967069
21292	5.3259021199385	8.5830449777699
21293	5.3244238823932	8.5815667401818
21294	5.3229835058568	8.5801263636036
21295	5.3215665383939	8.5787093960997
21296	5.3201637824711	8.5773066401369
21297	5.3187696397893	8.5759124974158
21298	5.3173805887707	8.5745234463589
21299	5.3159943645524	8.573137222103
21300	5.3146076650711	8.5717505225849
21301	5.313224332651	8.5703671901287
21302	5.3118400622173	8.5689829196598
21303	5.3104554250048	8.5675982824127
21304	5.3090647914619	8.5662076488358
21305	5.3076742920395	8.5648171493801
21306	5.3062821093245	8.5634249666325
21307	5.3048874669648	8.5620303242408
21308	5.3034901101137	8.5606329673583
21309	5.3020898516492	8.5592327088631
21310	5.3006865711599	8.5578294283435
21311	5.2992801933733	8.5564230505273
21312	5.2978706629917	8.5550135201166
21313	5.2964579344631	8.5536007915597
21314	5.2953050920908	8.5524479491594
21315	5.2946178915791	8.5517607486194
21316	5.2942245111123	8.551367368124
21317	5.2940178352199	8.5511606922029
21318	5.2939405528633	8.5510834098173
21319	5.2939553238201	8.5510981807449
21320	5.2940381465739	8.5511810034693
21321	5.2941736969744	8.5513165538402
21322	5.2943518957044	8.5514947525402
21323	5.2945658229408	8.5517086797465
21324	5.2948105071796	8.5519533639548
21325	5.2950822112948	8.5522250680393
21326	5.2953780000984	8.552520856812
21327	5.2956955102607	8.5528383669431
21328	5.2960289973683	8.5531718540193
21329	5.2963769206487	8.553519777268
21330	5.2967367874855	8.5538796440729
21331	5.2971417494056	8.5542846059607
21332	5.2975607313058	8.5547035878283
21333	5.2979780898571	8.5551209463468
21334	5.2984023398402	8.5555451962968
21335	5.2988383172289	8.5559811736521
21336	5.2992865718878	8.5564294282774
21337	5.2997462583864	8.5568891147628
21338	5.3007499453572	8.5578928017417
21339	5.3027527038706	8.5598955602636
21340	5.3053098432458	8.5624526996481
21341	5.3082312434579	8.5653740998701
21342	5.3113983533757	8.5685412097987
21343	5.3147556145584	8.5718984709931
21344	5.3182634333658	8.5754062898132
21345	5.3218925219741	8.5790353784354
21346	5.3256215040469	8.5827643605234
21347	5.3294350404543	8.5865778969475
21348	5.3333219996263	8.590464856138
21349	5.337274043633	8.5944169001654
21350	5.3412846891087	8.5984275456642
21351	5.3453487195902	8.6024915761717
21352	5.3494618192845	8.6066046758956
21353	5.3536203391419	8.6107631957869
21354	5.3578211417103	8.6149639983945
21355	5.3620614937906	8.6192043505208
21356	5.3663390422046	8.6234818989892
21357	5.3706516124283	8.6277944692787
21358	5.3749972621413	8.6321401190725
21359	5.379374254699	8.636517111732
21360	5.3837810363179	8.640923893483
21361	5.3882161922208	8.6453590494444
21362	5.3921875683295	8.649330425504
21363	5.3953040399936	8.6524468971163
21364	5.3978896170245	8.6550324740921
21365	5.4001490928088	8.657291949818
21366	5.402187833974	8.6593306909209
21367	5.4040722939498	8.6612151508304
21368	5.4058450328449	8.6629878896546
21369	5.4075335889931	8.6646764457267
21370	5.409156344702	8.6662992013541
21371	5.4107259745309	8.6678688310952
21372	5.412251513648	8.6693943701174
21373	5.4137396427319	8.6708824990987
21374	5.4151954869391	8.6723383431943
21375	5.4166231076544	8.6737659637878
21376	5.4180258074103	8.6751686634106
21377	5.4194063252035	8.6765491810573
21378	5.4207669675499	8.6779098232418
21379	5.4221097005474	8.6792525560597
21380	5.4234362170436	8.6805790723551
21381	5.4247479870971	8.681890842183
21382	5.4260462967586	8.6831891515889
21383	5.4273322784181	8.6844751329566
21384	5.428606934913	8.6857497891151
21385	5.4298711586536	8.6870140127394
21386	5.4310117156304	8.6881545698565
21387	5.4319288490591	8.6890717034211
21388	5.4326952821437	8.6898381366375
21389	5.4333641428696	8.6905069974911
21390	5.433963744826	8.6911065995714
21391	5.4345124448045	8.6916552996702
21392	5.4350221208695	8.6921649758519
21393	5.435500362402	8.6926432174979
21394	5.4359521855861	8.6930950407922
21395	5.4363810849478	8.693523940261
21396	5.4367896296435	8.6939324850609
21397	5.4371798060217	8.6943226615406
21398	5.4375532173634	8.6946960729809
21399	5.437911200716	8.6950540564296
21400	5.4382548968196	8.6953977526268
21401	5.4385852944977	8.6957281503961
21402	5.4389032610467	8.6960461170339
21403	5.4392095643956	8.6963524204695
21404	5.4395048899365	8.6966477460948
21405	5.4397898536272	8.6969327098679
21406	5.4400650123662	8.6972078686875
21407	5.4403308723215	8.6974737287213
21408	5.4405878957006	8.697730752177
21409	5.4408365064838	8.6979793628716
21410	5.441105110317	8.6982479664503
21411	5.4414187138067	8.6985615696828
21412	5.441760217144	8.6989030727602
21413	5.4421170124128	8.6992598677663
21414	5.4424825010974	8.6996253561854
21415	5.4428524897478	8.6999953445674
21416	5.4432243648699	8.7003672194182
21417	5.4435965759703	8.7007394302442
21418	5.443968195723	8.7011110497197
21419	5.4443386595918	8.7014815133081
21420	5.4447076130076	8.7018504664404
21421	5.4450748270784	8.7022176802246
21422	5.4454401505779	8.7025830034342
21423	5.4458034826307	8.7029463351938
21424	5.4461647569383	8.703307609205
21425	5.4465239321351	8.7036667841019
21426	5.4468809854039	8.7040238370673
21427	5.4472359079563	8.7043787593129
21428	5.4475887017004	8.7047315527465
21429	5.44793937673	8.705082227462
21430	5.4482879494113	8.7054307998256
21431	5.4486344409108	8.7057772910036
21432	5.4489788760536	8.7061217258211
21433	5.4493212820786	8.7064641318692
21434	5.4496721795377	8.7068150297106
21435	5.450040847502	8.7071836980676
21436	5.4504207918727	8.7075636428419
21437	5.4508071977403	8.7079500491245
21438	5.4511975145964	8.7083403664074
21439	5.4515901022963	8.7087329545465
21440	5.4519839205945	8.7091267732968
21441	5.4523783318219	8.7095211849898
21442	5.452772939111	8.7099157927587
21443	5.4531674854547	8.7103103395969
21444	5.4535617967809	8.710704651433
21445	5.4539557498061	8.7110986049843
21446	5.4543492561998	8.711492111921
21447	5.4547422423367	8.7118850986187
21448	5.4551346572366	8.7122775140982
21449	5.4555264589811	8.7126693164419
21450	5.4559176150961	8.7130604731767
21451	5.4563081004076	8.7134509591297
21452	5.4566978955337	8.7138407549203
21453	5.4570869858188	8.714229845894
21454	5.45747536048	8.7146182212693
21455	5.4578630119192	8.7150058734494
21456	5.4582499351712	8.715392797471
21457	5.4586361277965	8.7157789905611
21458	5.4590274784213	8.7161703413291
21459	5.4594291924064	8.7165720554651
21460	5.4598376118351	8.716980475053
21461	5.4602500099283	8.7173928733147
21462	5.4606649359106	8.7178077994754
21463	5.4610814527432	8.7182243164973
21464	5.4614989616849	8.7186418256401
21465	5.4619170911745	8.7190599553438
21466	5.4623356057165	8.7194784701144
21467	5.4627543490373	8.7198972136794
21468	5.4631732120353	8.7203160769393
21469	5.4635921146793	8.7207349798646
21470	5.464010995645	8.7211538611334
21471	5.4644298063599	8.7215726721757
21472	5.4648485074978	8.7219913736685
21473	5.4652670667824	8.7224099333389
21474	5.465685457493	8.7228283244706
21475	5.4661036573789	8.7232465248181
21476	5.4665216538027	8.7236645217498
21477	5.4669394204765	8.7240822889854
21478	5.4673569499582	8.7244998190916
21479	5.4677742304768	8.7249171003087
21480	5.468191252769	8.7253341233875
21481	5.4686080094933	8.7257508807068
21482	5.4689928144672	8.7261356859989
21483	5.4693175664915	8.7264604383308
21484	5.4696019243012	8.7267447964377
21485	5.4698606210886	8.7270034935127
21486	5.4701015044548	8.7272443771571
21487	5.4703296499618	8.7274725229336
21488	5.4705483119095	8.7276911851423
21489	5.4707595228761	8.727902396362
21490	5.470964584912	8.7281074586433
21491	5.4711643756322	8.7283072496016
21492	5.4713595205361	8.7285023947366
21493	5.4715504901925	8.7286933646174
21494	5.4717376557718	8.7288805304147
21495	5.471921320866	8.7290641957208
21496	5.4721017401428	8.7292446152035
21497	5.4722791309782	8.7294220062394
21498	5.4724536813307	8.7295965567868
21499	5.4726255554404	8.7297684310863
21500	5.472794898134	8.7299377739647
21501	5.4729618381503	8.730104714161
21502	5.4731264907502	8.7302693669363
21503	5.4732889597884	8.7304318361455
21504	5.4734493393782	8.7305922159019
21505	5.4736077166855	8.73075059193
21506	5.4737157724457	8.7308586453265
21507	5.4737219539122	8.7308648248105
21508	5.4736659519539	8.7308088211658
21509	5.473571653898	8.7307145216578
21510	5.473456811153	8.7305996776492
21511	5.4733306527373	8.7304735181241
21512	5.4731938543095	8.7303367187144
21513	5.4730329051488	8.7301757686786
21514	5.4728367114983	8.7299795742433
21515	5.4726429681433	8.7297858301803
21516	5.4724507527786	8.7295936141739
21517	5.4722531627396	8.7293960235505
21518	5.4720483341319	8.7291911944082
21519	5.4718364459501	8.7289793057358
21520	5.4716181222247	8.7287609815583
21521	5.47139396371	8.7285368226258
21522	5.4711644534524	8.728307311981
21523	5.4709299667386	8.7280728249071
21524	5.4706908003189	8.727833658152
21525	5.4704471983205	8.7275900558401
21526	5.4701993701053	8.7273422273315
21527	5.4699475008765	8.7270903578273
21528	5.4696917575284	8.7268346142203
21529	5.4694322919645	8.7265751484273
21530	5.4691739155553	8.7263167718152
21531	5.468920861647	8.7260637177145
21532	5.4686703392976	8.725813195182
21533	5.4684203081893	8.7255631638996
21534	5.4681697237093	8.7253125792536
21535	5.4679179377228	8.7250607931087
21536	5.4676645755509	8.7248074307855
21537	5.467409399192	8.7245522542821
21538	5.4671523075038	8.7242951624555
21539	5.4668932446033	8.7240360994224
21540	5.4666321883464	8.7237750430384
21541	5.4663691358768	8.7235119904469
21542	5.4661040953845	8.7232469498374
21543	5.4658370818462	8.7229799361866
21544	5.4655681145779	8.7227109688099
